Abs[x];abs(x)
EllipticF[x,y];Elliptic__F(x,y)
EllipticE[m];Elliptic__E(m)
EllipticE[phi,m];Elliptic__E(phi,m)
PolyLog[n,z];Polylogarithms__polylog(n,z)
Hypergeometric2F1[a,b,c,z];HypergeometricFunctions__₂F₁(a, b, c, z)
PolyGamma[n,z];SpecialFunctions__polygamma(n,x)
Zeta[s];SpecialFunctions__zeta(s)
Zeta[s,a];SpecialFunctions__zeta(s,a)
Gamma[a,x];SpecialFunctions__gamma(a,x)
Gamma[x];SpecialFunctions__gamma(x)
ExpIntegralE[n,z];SpecialFunctions__expint(n, z)
Log[x,y];log(y,x)
F0[x];f₀[x]
F[a,b,c,d,e];f(a,b,c,d,e)
